project_index,group,project_root,style,name,length
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,右侧,1-21UD,0.0
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,右侧,1-21WD,0.0
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,右侧,1-21YD,0.0
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,右侧,TD,0.0
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,右侧,BD,0.0
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,右侧,JD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21C1D,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21CD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21GD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21ID,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21QD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21UD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,2-21YD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,左侧,ZD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21C1D,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21CD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21GD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21ID,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21QD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21UD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,1-21YD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,BD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,JD,0.0
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,右侧,TD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21C1D,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21CD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21GD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21ID,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21QD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21UD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,2-21YD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,左侧,ZD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21C1D,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21CD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21GD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21ID,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21QD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21UD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,1-21YD,0.0
